"","Animal","Genotype","Day","Sex","Winding","Time","Distance","TimeNorm","DistNorm","Quadrant"
"1","190715_10","E22","Probe_D5","M",22.41614255,30.1,0.5744,0.502504173622704,0.54455821008722,"SW"
"2","190715_5","E22","Probe_D5","M",20.22717514,34.1,0.5475,0.568333333333333,0.497139743938981,"SW"
"3","190715_6","E22","Probe_D5","M",18.74337815,27.6,0.5772,0.460767946577629,0.466461936318086,"SW"
"4","190715_7","E22","Probe_D5","F",18.01052275,16.2,0.348,0.270450751252087,0.304248994579472,"SW"
"5","190715_8","E22","Probe_D5","F",17.06983101,21.8,0.471,0.363939899833055,0.384583979750143,"SW"
"6","190715_9","E22","Probe_D5","M",17.34081223,13.5,0.3029,0.225,0.250579086697551,"SW"
"7","210222_16","E22","Probe_D5","M",17.65134178,32.5,0.646,0.541666666666667,0.533003300330033,"SW"
"8","210222_17","E22","Probe_D5","F",19.746707,29,0.5476,0.483333333333333,0.454439834024896,"SW"
"9","210503-18","E22","Probe_D5","M",22.16481661,23.4,0.5193,0.515418502202643,0.564640643688159,"SW"
"10","210503-19","E22","Probe_D5","M",15.1498015,18.4,0.3808,0.341372912801484,0.345679012345679,"SW"
"11","210503-20","E22","Probe_D5","M",18.44049014,27.2,0.5922,0.465753424657534,0.483981693363844,"SW"
"12","210503-21","E22","Probe_D5","F",19.81538632,34.3,0.6589,0.602811950790861,0.593496667267159,"SW"
"13","210503-22","E22","Probe_D5","F",20.12895324,21.8,0.3956,0.406716417910448,0.447815259225719,"SW"
"14","190715_1","E33","Probe_D5","M",16.75229445,17.7,0.3845,0.295,0.284225310467179,"SW"
"15","190715_2","E33","Probe_D5","M",16.65450975,33.3,0.7157,0.555,0.541049289386151,"SW"
"16","190715_3","E33","Probe_D5","M",21.93281961,42.9,0.6921,0.715,0.716607993373369,"SW"
"17","210201_1","E33","Probe_D5","F",18.89749433,35,0.7045,0.583333333333333,0.545531980796035,"SW"
"18","210201_2","E33","Probe_D5","F",17.52309751,31.3,0.7343,0.52253756260434,0.536298568507157,"SW"
"19","210201_3","E33","Probe_D5","F",19.65222312,43.7,0.8219,0.729549248747913,0.736337573911485,"SW"
"20","210201_4","E33","Probe_D5","F",17.74953104,36.5,0.8228,0.607321131447587,0.590201563732874,"SW"
"21","210201_5","E33","Probe_D5","F",15.07775429,33.6,0.5897,0.56,0.492360357351591,"SW"
"22","210222_10","E33","Probe_D5","F",19.82826203,43.2,0.7218,0.72,0.689332441982619,"SW"
"23","210222_11","E33","Probe_D5","F",18.3427755,33.7,0.7209,0.561666666666667,0.551526279550149,"SW"
"24","210222_12","E33","Probe_D5","F",22.15588694,44.9,0.7596,0.748333333333333,0.742304309586632,"SW"
"25","210222_13","E33","Probe_D5","M",17.11753122,29.1,0.4991,0.484193011647255,0.438229870928088,"SW"
"26","210222_14","E33","Probe_D5","M",21.61513411,48.7,0.7659,0.813021702838063,0.807570645297343,"SW"
"27","210222_15","E33","Probe_D5","M",20.59428236,41.7,0.661,0.695,0.706196581196581,"SW"
"28","210222_7","E33","Probe_D5","F",18.98031134,27.5,0.5455,0.458333333333333,0.454469715904357,"SW"
"29","210222_8","E33","Probe_D5","F",20.28099476,34.4,0.6944,0.573333333333333,0.557885434241183,"SW"
"30","210222_9","E33","Probe_D5","F",20.92660878,36.3,0.7415,0.605,0.601281219591307,"SW"
"31","061019_1","E44","Probe_D5","M",22.57524101,16.3,0.3068,0.271666666666667,0.275379229871645,"SW"
"32","061019_10","E44","Probe_D5","F",23.59291797,25.2,0.4041,0.42,0.339095409918604,"SW"
"33","061019_2","E44","Probe_D5","M",20.43866189,34.9,0.671,0.581666666666667,0.533386327503975,"SW"
"34","061019_3","E44","Probe_D5","M",26.6606015,48.1,0.7838,0.801666666666667,0.788372560852947,"SW"
"35","061019_4","E44","Probe_D5","M",19.2642475,13.8,0.197,0.23,0.201225740551583,"SW"
"36","061019_5","E44","Probe_D5","M",19.00566791,20.8,0.4425,0.346666666666667,0.333057353605299,"SW"
"37","061019_6","E44","Probe_D5","F",26.34062848,41.7,0.6798,0.695,0.637173118380354,"SW"
"38","061019_7","E44","Probe_D5","F",21.92279566,20.2,0.378,0.337228714524207,0.33549303275051,"SW"
"39","061019_8","E44","Probe_D5","F",25.03491172,25.1,0.4001,0.417637271214642,0.400741185897436,"SW"
"40","061019_9","E44","Probe_D5","F",39.73000118,3.8,0.0764,0.0633333333333333,0.116445663770767,"SW"
"41","200331_21","E44","Probe_D5","F",22.07805611,22.1,0.3269,0.367720465890183,0.323567257250322,"SW"
"42","210201_10","E44","Probe_D5","F",15.40676457,29.8,0.5987,0.496666666666667,0.450828313253012,"SW"
"43","210201_11","E44","Probe_D5","M",21.70830902,30.7,0.5012,0.510815307820299,0.486932866996988,"SW"
"44","210201_12","E44","Probe_D5","M",19.82029338,27.6,0.3686,0.460767946577629,0.430105017502917,"SW"
"45","210201_13","E44","Probe_D5","M",19.83816166,29.4,0.4727,0.490818030050083,0.443891445206123,"SW"
"46","210201_14","E44","Probe_D5","M",19.26199856,39,0.7344,0.64891846921797,0.629737609329446,"SW"
"47","210201_15","E44","Probe_D5","M",19.8547858,29.1,0.4516,0.485,0.491992591785598,"SW"
"48","210201_16","E44","Probe_D5","M",19.48499118,27.5,0.5214,0.458333333333333,0.442614601018676,"SW"
"49","210201_17","E44","Probe_D5","M",17.88616168,36.3,0.7464,0.605,0.602275478092472,"SW"
"50","210201_18","E44","Probe_D5","M",22.12724487,41.5,0.7786,0.691666666666667,0.721727845754542,"SW"
"51","210201_6","E44","Probe_D5","F",15.57070843,33.2,0.6423,0.553333333333333,0.528120374938332,"SW"
"52","210201_7","E44","Probe_D5","F",16.79030573,30.5,0.644,0.508333333333333,0.479630595069636,"SW"
"53","210201_8","E44","Probe_D5","F",18.81960648,32.7,0.6609,0.546822742474916,0.511018325214567,"SW"
"54","210201_9","E44","Probe_D5","F",22.70306535,45.4,0.7112,0.756666666666667,0.69108930133126,"SW"
"108","190715_10","E22","Probe_D5","M",22.41614255,15.8,0.2577,0.263772954924875,0.244311717861206,"SE"
"109","190715_5","E22","Probe_D5","M",20.22717514,15.8,0.3495,0.263333333333333,0.317352220103514,"SE"
"110","190715_6","E22","Probe_D5","M",18.74337815,9,0.2131,0.15025041736227,0.172215936641345,"SE"
"111","190715_7","E22","Probe_D5","F",18.01052275,12.7,0.258,0.212020033388982,0.225563909774436,"SE"
"112","190715_8","E22","Probe_D5","F",17.06983101,28.5,0.5578,0.475792988313856,0.455458479627664,"SE"
"113","190715_9","E22","Probe_D5","M",17.34081223,15.6,0.3208,0.26,0.265387160820649,"SE"
"114","210222_16","E22","Probe_D5","M",17.65134178,7,0.137,0.116666666666667,0.113036303630363,"SE"
"115","210222_17","E22","Probe_D5","F",19.746707,5.2,0.1165,0.0866666666666667,0.0966804979253112,"SE"
"116","210503-18","E22","Probe_D5","M",22.16481661,11.9,0.2269,0.262114537444934,0.246710883983908,"SE"
"117","210503-19","E22","Probe_D5","M",15.1498015,19.8,0.3843,0.36734693877551,0.348856209150327,"SE"
"118","210503-20","E22","Probe_D5","M",18.44049014,11.2,0.2156,0.191780821917808,0.176201372997712,"SE"
"119","210503-21","E22","Probe_D5","F",19.81538632,7,0.1375,0.123022847100176,0.123851558277788,"SE"
"120","210503-22","E22","Probe_D5","F",20.12895324,16.5,0.2978,0.307835820895522,0.337106633461626,"SE"
"121","190715_1","E33","Probe_D5","M",16.75229445,14.7,0.3739,0.245,0.276389710230633,"SE"
