"","Animal","Genotype","Day","Sex","Winding","Time","Distance","TimeNorm","DistNorm","Quadrant"
"105","210201_7","E44","Probe_D8","F",18.00366982,24.9,0.5151,0.415692821368948,0.390286407031368,"SW"
"106","210201_8","E44","Probe_D8","F",14.69296933,22.8,0.5293,0.380634390651085,0.345992940253628,"SW"
"107","210201_9","E44","Probe_D8","F",16.08951342,30.3,0.6747,0.505,0.474205791397245,"SW"
"162","190715_10","E22","Probe_D8","M",21.36000062,34,0.591,0.566666666666667,0.541903539336145,"SE"
"163","190715_5","E22","Probe_D8","M",17.46487726,20.9,0.4337,0.348333333333333,0.338695821944553,"SE"
"164","190715_6","E22","Probe_D8","M",17.72005208,11.4,0.3007,0.19,0.232541953445209,"SE"
"165","190715_7","E22","Probe_D8","F",18.42535606,5.5,0.1339,0.0916666666666667,0.118811002661934,"SE"
"166","190715_8","E22","Probe_D8","F",16.2268552,21.8,0.4837,0.363333333333333,0.371619545175169,"SE"
"167","190715_9","E22","Probe_D8","M",16.62564396,12.7,0.2862,0.211666666666667,0.233289859797848,"SE"
"168","210222_16","E22","Probe_D8","M",18.52169676,12.6,0.2567,0.21,0.198515196040523,"SE"
"169","210222_17","E22","Probe_D8","F",16.92387451,8.6,0.2219,0.143333333333333,0.163450206246317,"SE"
"170","210503-18","E22","Probe_D8","M",16.90386145,18.3,0.3998,0.35672514619883,0.331426676614441,"SE"
"171","210503-19","E22","Probe_D8","M",13.25988071,14,0.3378,0.375335120643432,0.417707431680475,"SE"
"172","210503-20","E22","Probe_D8","M",19.18400168,13.8,0.2729,0.266924564796905,0.254665920119448,"SE"
"173","210503-21","E22","Probe_D8","F",17.95355691,23.6,0.4986,0.448669201520913,0.419909044972208,"SE"
"174","210503-22","E22","Probe_D8","F",17.59719336,19.5,0.4231,0.376447876447876,0.386816602669592,"SE"
"175","190715_1","E33","Probe_D8","M",14.97833585,10.3,0.2553,0.171666666666667,0.184358752166378,"SE"
"176","190715_2","E33","Probe_D8","M",16.31367683,14.2,0.3644,0.236666666666667,0.260099928622412,"SE"
"177","190715_3","E33","Probe_D8","M",18.51503263,12.8,0.2059,0.212978369384359,0.186503623188406,"SE"
"178","210201_1","E33","Probe_D8","F",20.15500079,4.2,0.0911,0.07,0.0771837668389392,"SE"
"179","210201_2","E33","Probe_D8","F",14.47823213,18.3,0.4885,0.305,0.311384497705252,"SE"
"180","210201_3","E33","Probe_D8","F",19.9776686,20.4,0.4184,0.34,0.351774003699344,"SE"
"181","210201_4","E33","Probe_D8","F",18.20014656,10.7,0.2671,0.178333333333333,0.180509562749206,"SE"
"182","210201_5","E33","Probe_D8","F",17.63891831,17.3,0.4215,0.28881469115192,0.294281924177896,"SE"
"183","210222_10","E33","Probe_D8","F",18.90466655,7.5,0.1662,0.125,0.148326639892905,"SE"
"184","210222_11","E33","Probe_D8","F",17.5291533,6.6,0.1731,0.11,0.133885064583494,"SE"
"185","210222_12","E33","Probe_D8","F",21.28864558,16.5,0.2877,0.275,0.268652535250724,"SE"
"186","210222_13","E33","Probe_D8","M",17.32036891,11.1,0.2355,0.185,0.218298109010011,"SE"
"187","210222_14","E33","Probe_D8","M",20.01730015,4.3,0.0694,0.0717863105175292,0.0634021560387356,"SE"
"188","210222_15","E33","Probe_D8","M",17.40783118,8,0.135,0.133333333333333,0.136612021857923,"SE"
"189","210222_7","E33","Probe_D8","F",17.94868785,13.4,0.275,0.223333333333333,0.236376138903215,"SE"
"190","210222_8","E33","Probe_D8","F",20.17984269,12,0.2788,0.2,0.207255426702349,"SE"
"191","210222_9","E33","Probe_D8","F",18.82032931,11.6,0.266,0.193011647254576,0.195458887500919,"SE"
"192","061019_1","E44","Probe_D8","M",22.75198095,18.5,0.3737,0.308333333333333,0.310614246529798,"SE"
"193","061019_10","E44","Probe_D8","F",25.76451388,4.7,0.1077,0.0782029950083195,0.090140609306997,"SE"
"194","061019_2","E44","Probe_D8","M",25.43025944,2.8,0.0484,0.0466666666666667,0.051320114515958,"SE"
"195","061019_3","E44","Probe_D8","M",20.81804791,16.1,0.3722,0.267886855241265,0.284905082669933,"SE"
"196","061019_4","E44","Probe_D8","M",21.90203321,9.9,0.1941,0.165,0.174503281488807,"SE"
"197","061019_5","E44","Probe_D8","M",21.71262475,12.5,0.306,0.208333333333333,0.217484008528785,"SE"
"198","061019_6","E44","Probe_D8","F",25.33549132,13.1,0.2845,0.218333333333333,0.229731912144703,"SE"
"199","061019_7","E44","Probe_D8","F",23.85328974,12.6,0.2419,0.210350584307179,0.209346603202077,"SE"
"200","061019_8","E44","Probe_D8","F",22.10515771,6.3,0.1463,0.105,0.121219653658132,"SE"
